"operator","technology","download","speed_kbps","signal_strength","lsa"
"AIRTEL","4G","download","17437","-96","Haryana"
"JIO","4G","upload","14097","-77","Mumbai"
"JIO","4G","download","80945","-90","Bihar"
"AIRTEL","4G","upload","1871","-93","Haryana"
"JIO","4G","download","156","-90","UP East"
"JIO","4G","upload","4830","-90","Delhi"
"JIO","4G","upload","1164","-93","Haryana"
"JIO","4G","download","480","na","Bihar"
"JIO","4G","download","63908","-90","Rajasthan"
"AIRTEL","4G","upload","3229","-95","Assam"
"JIO","4G","download","30780","-97","UP East"
"JIO","4G","download","14785","-91","Haryana"
"JIO","4G","download","84310","-90","Bihar"
"AIRTEL","4G","download","5314","-91","Haryana"
"CELLONE","3G","upload","1028","na","Kerala"
"JIO","4G","upload","5768","-94","UP East"
"JIO","4G","download","82846","-90","Bihar"
"AIRTEL","4G","upload","896","-72","Haryana"
"JIO","4G","upload","567","-102","Haryana"
"AIRTEL","4G","download","8156","-69","Bihar"
"AIRTEL","4G","download","510","-106","UP East"
"JIO","4G","upload","9177","-90","Bihar"
"Vi India","4G","download","612","na","Madhya Pradesh"
"Vi India","4G","upload","284","na","Gujarat"
"JIO","4G","upload","274","na","Haryana"
"AIRTEL","4G","upload","1728","-71","Haryana"
"AIRTEL","4G","upload","125","-106","Tamil Nadu"
"CELLONE","3G","upload","912","-99","Kerala"
"AIRTEL","4G","upload","1463","-99","Haryana"
"AIRTEL","4G","upload","1332","-102","Rajasthan"
"JIO","4G","upload","9374","-90","Tamil Nadu"
"JIO","4G","upload","8528","-90","Delhi"
"Vi India","4G","download","5694","-91","Delhi"
"AIRTEL","4G","upload","34","-82","Punjab"
"JIO","4G","download","60374","-90","Kolkata"
"JIO","4G","download","8963","-80","Gujarat"
"AIRTEL","4G","download","3546","-111","Chennai"
"CELLONE","4G","upload","3428","-99","Bihar"
"AIRTEL","4G","download","2354","-93","Gujarat"
"Vi India","4G","upload","11021","-87","Delhi"
"JIO","4G","download","76010","-90","Delhi"
"AIRTEL","4G","upload","220","-97","Haryana"
"Vi India","4G","upload","8045","-81","Maharashtra"
"AIRTEL","4G","download","6226","-103","Haryana"
"JIO","4G","download","2504","na","Haryana"
"JIO","4G","download","11061","-110","Haryana"
"JIO","4G","upload","1100","-102","Haryana"
"AIRTEL","4G","upload","10730","-110","Haryana"
"AIRTEL","4G","download","11652","-92","Haryana"
"JIO","4G","download","3914","-82","Haryana"
"JIO","4G","upload","9279","-90","Tamil Nadu"
"JIO","4G","download","9950","na","Kerala"
"JIO","4G","download","13579","-88","Haryana"
"AIRTEL","4G","upload","609","-111","Haryana"
"AIRTEL","4G","download","28428","-89","Haryana"
"AIRTEL","4G","upload","73","-101","Haryana"
"JIO","4G","upload","6961","-88","Haryana"
"AIRTEL","4G","download","10509","-101","Haryana"
"AIRTEL","4G","download","14851","-105","Haryana"
"AIRTEL","4G","upload","10443","-89","Haryana"
"JIO","4G","upload","125","-110","Haryana"
"JIO","4G","upload","3319","-85","Haryana"
"JIO","4G","download","11381","-102","Haryana"
"AIRTEL","4G","upload","41","na","Tamil Nadu"
"AIRTEL","4G","upload","20406","-82","Haryana"
"AIRTEL","4G","upload","1427","-100","Haryana"
"JIO","4G","upload","3890","-88","Haryana"
"JIO","4G","upload","20157","-87","Karnataka"
"AIRTEL","4G","download","19238","-104","Haryana"
"JIO","4G","upload","410","-95","Haryana"
"JIO","4G","download","18117","-78","Haryana"
"JIO","4G","download","11926","-78","Haryana"
"AIRTEL","4G","upload","2940","-99","Haryana"
"AIRTEL","4G","upload","22038","-71","Tamil Nadu"
"Vi India","3G","upload","121","-96","Kerala"
"JIO","4G","download","543","-95","Andhra Pradesh"
"JIO","4G","upload","857","-101","Maharashtra"
"JIO","4G","upload","6592","-93","Gujarat"
"AIRTEL","4G","download","7920","na","Haryana"
"AIRTEL","4G","download","3498","-88","Himachal Pradesh"
"JIO","4G","download","13093","-53","Haryana"
"JIO","4G","download","55178","-90","Bihar"
"Vi India","4G","download","17673","-104","Kolkata"
"Vi India","4G","upload","4923","-94","Delhi"
"JIO","4G","upload","65","-99","Gujarat"
"Vi India","4G","upload","3156","-106","Maharashtra"
"AIRTEL","4G","upload","765","-100","Haryana"
"JIO","4G","download","2689","-107","Haryana"
"AIRTEL","4G","download","11902","-92","Haryana"
"JIO","4G","download","7101","-93","Haryana"
"JIO","4G","upload","156","-110","Haryana"
"JIO","4G","download","3663","-83","Haryana"
"AIRTEL","4G","upload","731","-112","Haryana"
"AIRTEL","4G","download","4542","-97","Haryana"
"JIO","4G","download","1552","-101","Haryana"
"JIO","4G","upload","73","-85","Tamil Nadu"
"AIRTEL","4G","download","6376","-92","Haryana"
"AIRTEL","4G","download","1196","-96","Haryana"
"JIO","4G","download","74946","-90","Bihar"
"JIO","4G","upload","373","-103","Haryana"
"AIRTEL","4G","upload","3160","-92","Haryana"
"JIO","4G","download","80238","-90","Bihar"
"AIRTEL","4G","download","1025","-102","Haryana"
"AIRTEL","4G","download","20539","-101","Haryana"
"JIO","4G","download","4939","-107","Haryana"
"AIRTEL","4G","download","8120","-101","Haryana"
"AIRTEL","4G","download","7623","-107","Haryana"
"JIO","4G","upload","4780","-90","Bihar"
"JIO","4G","upload","235","-103","Haryana"
"Vi India","4G","download","4076","-92","Maharashtra"
"AIRTEL","4G","download","3761","-96","Haryana"
"JIO","4G","download","2860","-100","Gujarat"
"AIRTEL","4G","upload","157","-110","Haryana"
"AIRTEL","4G","download","8803","-79","Maharashtra"
"JIO","4G","download","2745","-99","Orissa"
"JIO","4G","upload","4297","-90","Bihar"
"AIRTEL","4G","download","310","-92","Andhra Pradesh"
"JIO","4G","upload","276","-97","Haryana"
"JIO","4G","download","8490","-95","Maharashtra"
"JIO","4G","upload","8542","-90","Delhi"
"CELLONE","3G","download","467","-75","Andhra Pradesh"
"JIO","4G","download","19574","-72","Haryana"
"JIO","4G","download","352","-112","Bihar"
"JIO","4G","download","83893","-90","Bihar"
"AIRTEL","4G","download","1397","-98","Haryana"
"AIRTEL","4G","upload","7399","-89","Tamil Nadu"
"JIO","4G","download","55783","-90","Bihar"
"CELLONE","3G","download","1523","-71","Rajasthan"
"JIO","4G","download","2252","-101","Haryana"
"JIO","4G","download","18458","-79","Gujarat"
"JIO","4G","upload","8596","-90","Rajasthan"
"JIO","4G","upload","8804","-90","Rajasthan"
"AIRTEL","4G","upload","2322","-109","Haryana"
"AIRTEL","4G","download","13844","-92","Haryana"
"AIRTEL","4G","download","37537","-87","Haryana"
"CELLONE","3G","upload","1817","-97","Rajasthan"
"JIO","4G","download","10321","-93","Haryana"
"JIO","4G","download","69316","-90","UP East"
"JIO","4G","download","78737","-90","Bihar"
"JIO","4G","download","3698","na","Bihar"
"Vi India","4G","download","20485","-78","Mumbai"
"JIO","4G","upload","100","-109","Haryana"
"JIO","4G","download","31892","-73","Haryana"
"JIO","4G","upload","5435","-95","Haryana"
"JIO","4G","download","6390","-64","Haryana"
"JIO","4G","download","15131","-99","Haryana"
"CELLONE","3G","upload","3385","-78","Himachal Pradesh"
"JIO","4G","upload","6540","-91","Delhi"
"AIRTEL","4G","download","6148","-108","Haryana"
"JIO","4G","upload","5582","-90","Bihar"
"JIO","4G","download","46957","-90","Bihar"
"JIO","4G","upload","3776","-90","Kolkata"
"JIO","4G","upload","2419","-77","Maharashtra"
"Vi India","4G","upload","161","-110","UP West"
"AIRTEL","4G","download","28874","-91","Haryana"
"AIRTEL","4G","download","5447","-93","UP East"
"JIO","4G","upload","71","-112","Haryana"
"CELLONE","3G","upload","740","-95","Tamil Nadu"
"AIRTEL","4G","upload","1975","-97","Mumbai"
"JIO","4G","download","22701","-90","Kolkata"
"JIO","4G","download","74737","-90","Kolkata"
"JIO","4G","upload","4688","-90","Kolkata"
"AIRTEL","4G","download","24373","-91","Rajasthan"
"JIO","4G","upload","7996","-90","Rajasthan"
"JIO","4G","download","64189","-90","Rajasthan"
"AIRTEL","4G","upload","179","-70","Mumbai"
"AIRTEL","4G","upload","27","-97","Haryana"
"CELLONE","3G","download","4718","-90","Gujarat"
"JIO","4G","download","38030","-90","Orissa"
"JIO","4G","download","7842","-75","Haryana"
"CELLONE","3G","upload","2012","na","Maharashtra"
"JIO","4G","download","89417","-90","UP East"
"CELLONE","3G","download","472","-69","Rajasthan"
"JIO","4G","download","11493","-96","Haryana"
"JIO","4G","upload","661","-107","UP East"
"JIO","4G","download","965","na","Punjab"
"JIO","4G","download","72680","-90","Tamil Nadu"
"AIRTEL","4G","download","8753","-94","Haryana"
"JIO","4G","download","23411","-93","Haryana"
"AIRTEL","4G","upload","164","-98","Haryana"
"JIO","4G","download","91027","-90","Maharashtra"
"JIO","4G","upload","5183","-107","Haryana"
"AIRTEL","4G","download","1032","-84","Punjab"
"JIO","4G","download","91004","-90","Maharashtra"
"CELLONE","3G","upload","3503","-77","Bihar"
"JIO","4G","upload","3449","-90","Orissa"
"JIO","4G","download","32241","-90","Orissa"
"JIO","4G","download","2960","-99","Haryana"
"JIO","4G","download","11699","-99","Haryana"
"JIO","4G","download","82063","-90","Rajasthan"
"AIRTEL","4G","download","2327","-82","Haryana"
"JIO","4G","download","1846","-88","Haryana"
"AIRTEL","4G","download","1192","-102","Andhra Pradesh"
"JIO","4G","upload","1395","-97","Haryana"
"JIO","4G","download","83001","-90","Orissa"
"JIO","4G","upload","6809","-90","Orissa"
"JIO","4G","upload","149","na","Kerala"
"AIRTEL","4G","upload","30977","-80","Haryana"
"JIO","4G","upload","16467","-80","Haryana"
"JIO","4G","download","11492","-107","UP East"
"AIRTEL","4G","upload","1597","-86","Haryana"
"JIO","4G","upload","13586","-87","Tamil Nadu"
"JIO","4G","upload","3960","-83","Haryana"
"JIO","4G","upload","927","-98","Karnataka"
"AIRTEL","4G","upload","14260","-95","Haryana"
"AIRTEL","4G","download","8916","-106","Haryana"
"AIRTEL","4G","download","17200","-101","Haryana"
"JIO","4G","download","2586","-77","Madhya Pradesh"
"AIRTEL","4G","download","25071","-90","Haryana"
"JIO","4G","download","3736","-91","Bihar"
"JIO","4G","upload","9357","-90","Tamil Nadu"
"JIO","4G","download","69323","-90","Maharashtra"
"JIO","4G","upload","25949","-67","Haryana"
"Vi India","4G","upload","1672","-103","Delhi"
"JIO","4G","upload","83","-86","Haryana"
"JIO","4G","upload","1796","-79","Haryana"
"AIRTEL","4G","download","19149","-83","Haryana"
"JIO","4G","download","293","-104","Haryana"
"JIO","4G","upload","4542","-95","Punjab"
"AIRTEL","4G","upload","127","-111","Haryana"
"AIRTEL","4G","upload","1598","-86","Haryana"
"JIO","4G","download","12330","-103","Maharashtra"
"AIRTEL","4G","download","33559","-90","Himachal Pradesh"
"JIO","4G","upload","555","-102","Haryana"
"JIO","4G","upload","2331","-90","UP West"
"JIO","4G","upload","9778","-90","Rajasthan"
"JIO","4G","upload","9374","-90","Tamil Nadu"
"AIRTEL","4G","download","13113","-98","Punjab"
"JIO","4G","upload","2001","-90","Kolkata"
"JIO","4G","download","1830","-94","Maharashtra"
"AIRTEL","4G","upload","79","-107","Haryana"
"JIO","4G","download","44599","-90","Kolkata"
"AIRTEL","4G","download","25929","-104","Haryana"
"JIO","4G","download","18287","-91","Mumbai"
"JIO","4G","upload","4770","-90","Kolkata"
"JIO","4G","download","79797","-90","Kolkata"
"JIO","4G","download","22104","-79","Gujarat"
"JIO","4G","upload","215","-85","West Bengal"
"JIO","4G","upload","1355","-106","Haryana"
"AIRTEL","4G","upload","95","-104","Haryana"
"JIO","4G","upload","6011","-82","Haryana"
"Vi India","4G","upload","8433","-94","Maharashtra"
"JIO","4G","upload","1681","na","Madhya Pradesh"
"JIO","4G","download","15592","-89","Haryana"
"JIO","4G","upload","3461","-69","UP West"
"JIO","4G","download","67461","-90","Kolkata"
"CELLONE","4G","upload","5912","-97","Kerala"
"JIO","4G","upload","2320","-90","Orissa"
"JIO","4G","upload","640","-103","Karnataka"
"AIRTEL","4G","download","15284","-96","Haryana"
"AIRTEL","4G","download","2248","-98","Haryana"
"AIRTEL","4G","download","31707","-93","Haryana"
"JIO","4G","upload","7882","-90","Rajasthan"
"JIO","4G","download","55903","-90","Karnataka"
"JIO","4G","upload","6121","-100","Gujarat"
"Vi India","4G","upload","1138","na","Gujarat"
"JIO","4G","download","70826","-90","Bihar"
"JIO","4G","upload","3113","-90","Bihar"
"JIO","4G","download","80216","-90","Rajasthan"
"JIO","4G","download","85013","-90","Rajasthan"
"AIRTEL","4G","download","19281","-102","Andhra Pradesh"
"JIO","4G","download","5548","-88","Haryana"
"JIO","4G","upload","201","-104","Haryana"
"JIO","4G","upload","17191","-77","Haryana"
"JIO","4G","download","68698","-90","Rajasthan"
"JIO","4G","download","3423","-91","Haryana"
"AIRTEL","4G","download","28920","-95","Haryana"
"JIO","4G","download","3229","-76","Maharashtra"
"Vi India","4G","download","8091","-109","Gujarat"
"AIRTEL","4G","download","29913","-89","Haryana"
"JIO","4G","upload","341","-103","Haryana"
"AIRTEL","4G","upload","5769","-91","Haryana"
"JIO","4G","upload","477","-110","Haryana"
"AIRTEL","4G","download","7252","-101","West Bengal"
"JIO","4G","upload","9347","-90","Rajasthan"
"JIO","4G","upload","1500","-107","Haryana"
"JIO","4G","upload","9881","-90","Rajasthan"
"JIO","4G","upload","14157","-69","Punjab"
"AIRTEL","4G","download","23347","-81","Delhi"
"AIRTEL","4G","download","5784","-110","Maharashtra"
"JIO","4G","download","91006","-90","Gujarat"
"AIRTEL","4G","download","734","-87","Maharashtra"
"AIRTEL","4G","upload","8172","-96","Delhi"
"AIRTEL","4G","upload","1634","-112","Maharashtra"
"AIRTEL","4G","download","20991","-91","UP West"
"AIRTEL","4G","upload","21425","-98","Bihar"
"JIO","4G","upload","17333","-80","Haryana"
"JIO","4G","download","34151","-90","Kolkata"
"JIO","4G","upload","2285","-90","Karnataka"
"AIRTEL","4G","download","8666","-98","Haryana"
"JIO","4G","upload","9815","-90","Rajasthan"
"JIO","4G","upload","127","-90","Haryana"
"JIO","4G","upload","401","-100","Haryana"
"JIO","4G","download","67706","-90","UP East"
"JIO","4G","download","107260","-98","Gujarat"
"AIRTEL","4G","upload","72","-92","Haryana"
"AIRTEL","4G","download","7632","-88","Haryana"
"Vi India","4G","download","50","-80","West Bengal"
"JIO","4G","upload","2694","na","Delhi"
"JIO","4G","download","627","-99","Mumbai"
"JIO","4G","download","77126","-90","Kolkata"
"JIO","4G","upload","6932","-90","Kolkata"
"JIO","4G","upload","1573","-98","UP West"
"AIRTEL","4G","download","32140","-84","Rajasthan"
"AIRTEL","4G","upload","31549","-72","Maharashtra"
"AIRTEL","4G","upload","7298","-97","Bihar"
"Vi India","4G","download","16729","-86","Maharashtra"
"JIO","4G","upload","411","-98","Haryana"
"AIRTEL","4G","upload","2053","-96","Haryana"
"JIO","4G","upload","4114","-89","Maharashtra"
"AIRTEL","4G","upload","74","-103","Haryana"
"JIO","4G","upload","7878","-90","Kolkata"
"JIO","4G","upload","8592","-90","Kolkata"
"AIRTEL","4G","download","432","-105","Haryana"
"JIO","4G","download","69440","-90","UP East"
"JIO","4G","download","3357","-92","Maharashtra"
"JIO","4G","download","1866","-103","Haryana"
"AIRTEL","4G","download","39138","-102","Haryana"
"JIO","4G","upload","1023","-100","Kerala"
"JIO","4G","upload","94","-108","Haryana"
"JIO","4G","download","5669","-93","Haryana"
"Vi India","4G","download","5579","-99","Kerala"
"AIRTEL","4G","upload","171","-90","Haryana"
"Vi India","4G","download","8537","-104","Andhra Pradesh"
"Vi India","4G","upload","1085","-102","UP West"
"AIRTEL","4G","download","56521","-99","Haryana"
"AIRTEL","4G","download","15697","-106","Maharashtra"
"JIO","4G","download","49735","-90","Andhra Pradesh"
"JIO","4G","download","18156","-76","Haryana"
"JIO","4G","upload","128","na","Haryana"
"Vi India","4G","download","7637","na","Maharashtra"
"Vi India","4G","upload","375","na","Maharashtra"
"AIRTEL","4G","download","21977","-107","Haryana"
"AIRTEL","4G","download","16969","-101","Haryana"
"AIRTEL","4G","download","24893","-70","Haryana"
"JIO","4G","upload","128","-108","Madhya Pradesh"
"Vi India","4G","download","19435","na","Kerala"
"AIRTEL","4G","upload","467","-91","Haryana"
"JIO","4G","download","6008","-103","Haryana"
"JIO","4G","upload","100","-110","Haryana"
"AIRTEL","4G","download","40919","-102","Haryana"
"JIO","4G","upload","29323","-85","Haryana"
"AIRTEL","4G","download","34985","-101","Haryana"
"JIO","4G","upload","18933","-87","Karnataka"
"AIRTEL","4G","upload","3325","-101","Haryana"
"JIO","4G","upload","3685","-105","Tamil Nadu"
"AIRTEL","4G","upload","416","na","Punjab"
"AIRTEL","4G","download","25304","-94","Haryana"
"AIRTEL","4G","upload","497","-106","Haryana"
"AIRTEL","4G","upload","31357","-91","North East"
"AIRTEL","4G","download","23254","-96","Haryana"
"JIO","4G","download","20634","-106","Haryana"
"JIO","4G","download","16009","-79","Haryana"
"JIO","4G","upload","29446","-83","Haryana"
"AIRTEL","4G","upload","3913","-91","Haryana"
"AIRTEL","4G","download","32471","-104","Haryana"
"AIRTEL","4G","download","35906","-95","Haryana"
"JIO","4G","upload","16646","-102","Haryana"
"AIRTEL","4G","upload","40471","-93","Haryana"
"AIRTEL","4G","upload","8105","-98","Kolkata"
"AIRTEL","4G","download","13370","-110","Haryana"
"AIRTEL","4G","download","1748","-106","Haryana"
"AIRTEL","4G","download","55330","-107","Maharashtra"
"AIRTEL","4G","download","37660","-101","Haryana"
"JIO","4G","upload","523","-99","Haryana"
"JIO","4G","download","3017","-107","Rajasthan"
"JIO","4G","upload","6497","-83","Haryana"
"JIO","4G","upload","5701","-102","Haryana"
"Vi India","4G","upload","1048","-102","Gujarat"
"AIRTEL","4G","download","20140","-109","Kolkata"
"AIRTEL","4G","upload","748","-96","Haryana"
"Vi India","4G","download","12709","-83","Madhya Pradesh"
"AIRTEL","4G","upload","18518","-91","Haryana"
"JIO","4G","upload","1253","-90","Haryana"
"Vi India","4G","download","694","-78","Kerala"
"JIO","4G","download","564","-105","Madhya Pradesh"
"JIO","4G","download","34869","-83","Haryana"
"JIO","4G","upload","3885","-105","Bihar"
"JIO","4G","download","1940","-92","Haryana"
"AIRTEL","4G","upload","251","-98","Andhra Pradesh"
"AIRTEL","4G","download","15419","-81","Haryana"
"AIRTEL","4G","download","35297","-99","Haryana"
"JIO","4G","download","82887","-90","Rajasthan"
"AIRTEL","4G","upload","747","-106","Haryana"
"JIO","4G","download","26840","-90","Haryana"
"AIRTEL","4G","upload","5015","-91","UP East"
"JIO","4G","download","10209","-98","Haryana"
"AIRTEL","4G","upload","29940","-83","Haryana"
"JIO","4G","download","75549","-90","Tamil Nadu"
"JIO","4G","download","75467","-90","Tamil Nadu"
"CELLONE","4G","upload","30","-103","Punjab"
"JIO","4G","upload","333","na","Kerala"
"JIO","4G","download","81597","-90","Kolkata"
"JIO","4G","upload","9088","-90","Kolkata"
"JIO","4G","download","83902","-90","Kolkata"
"AIRTEL","4G","upload","3324","na","UP East"
"AIRTEL","4G","download","442","-76","Mumbai"
"JIO","4G","download","11246","-94","Haryana"
"Vi India","4G","download","5241","-103","Gujarat"
"JIO","4G","upload","166","-92","Haryana"
"JIO","4G","download","46677","-90","Gujarat"
"JIO","4G","upload","8513","-90","Gujarat"
"JIO","4G","download","67250","-90","Rajasthan"
"JIO","4G","upload","9665","-83","Haryana"
"JIO","4G","download","23350","-97","Tamil Nadu"
"AIRTEL","4G","upload","27905","-82","Haryana"
"JIO","4G","upload","4522","-90","Orissa"
"JIO","4G","download","70904","-90","Tamil Nadu"
"JIO","4G","download","81076","-90","Rajasthan"
"JIO","4G","upload","3915","-90","Orissa"
"AIRTEL","4G","download","14353","-102","Haryana"
"JIO","4G","upload","2513","-92","Andhra Pradesh"
"JIO","4G","upload","9253","-90","Tamil Nadu"
"AIRTEL","4G","upload","18524","-99","Haryana"
"AIRTEL","4G","upload","198","-98","Haryana"
"JIO","4G","upload","2372","-96","Maharashtra"
"JIO","4G","upload","5879","-98","Haryana"
"JIO","4G","upload","340","-87","Haryana"
"AIRTEL","4G","upload","21849","-100","Haryana"
"JIO","4G","download","66365","-90","UP East"
"JIO","4G","upload","4653","-110","Haryana"
"JIO","4G","download","36974","-90","Haryana"
"JIO","4G","download","63594","-90","Rajasthan"
"AIRTEL","4G","download","11107","-97","Tamil Nadu"
"JIO","4G","download","12975","-94","Haryana"
"JIO","4G","upload","215","-105","West Bengal"
"JIO","4G","upload","9656","-90","Rajasthan"
"AIRTEL","4G","download","3389","na","Haryana"
"JIO","4G","upload","1623","-90","Orissa"
"JIO","4G","upload","5663","-90","Gujarat"
"AIRTEL","4G","download","11773","-98","Haryana"
"JIO","4G","upload","668","-110","Haryana"
"JIO","4G","download","84207","-90","UP East"
"AIRTEL","4G","download","3464","-95","Haryana"
"JIO","4G","upload","429","-96","Haryana"
"JIO","4G","download","29743","-96","Karnataka"
"Vi India","4G","upload","14139","-82","Rajasthan"
"JIO","4G","upload","2557","-90","Bihar"
"JIO","4G","upload","1879","-94","Tamil Nadu"
"JIO","4G","download","1157","-100","Haryana"
"JIO","4G","download","67566","-90","Gujarat"
"JIO","4G","download","16781","-90","Delhi"
"JIO","4G","upload","9043","-90","UP East"
"AIRTEL","4G","download","26697","-98","Haryana"
"JIO","4G","upload","2817","-90","Bihar"
"AIRTEL","4G","upload","6083","-82","Karnataka"
"JIO","4G","upload","587","-99","Haryana"
"JIO","4G","upload","74","-110","Haryana"
"JIO","4G","upload","2382","na","Haryana"
"JIO","4G","upload","2443","-77","Orissa"
"AIRTEL","4G","download","9934","-108","Karnataka"
"AIRTEL","4G","download","8324","na","Himachal Pradesh"
"JIO","4G","download","76362","-90","Tamil Nadu"
"AIRTEL","4G","upload","2996","-97","Maharashtra"
"JIO","4G","upload","5408","-90","Karnataka"
"JIO","4G","upload","10185","-77","Delhi"
"JIO","4G","upload","9443","-90","UP East"
"JIO","4G","download","65224","-90","Rajasthan"
"Vi India","4G","upload","9887","-75","West Bengal"
"AIRTEL","4G","upload","1096","-96","Haryana"
"AIRTEL","4G","download","16027","-104","Tamil Nadu"
"JIO","4G","upload","5228","-90","Kolkata"
"JIO","4G","download","16652","-108","Bihar"
"JIO","4G","upload","5685","-90","Karnataka"
"JIO","4G","upload","8515","-90","Karnataka"
"JIO","4G","download","75103","-90","Kolkata"
"JIO","4G","download","84027","-90","Rajasthan"
"JIO","4G","upload","5771","-86","UP East"
"AIRTEL","4G","download","13910","-106","Haryana"
"AIRTEL","4G","download","16553","-90","Haryana"
"JIO","4G","upload","3658","-90","Delhi"
"JIO","4G","upload","3351","-90","Delhi"
"JIO","4G","download","32592","-90","Delhi"
"JIO","4G","download","174","-90","UP East"
"AIRTEL","4G","download","11479","-86","Delhi"
"AIRTEL","4G","download","31275","-95","Haryana"
"AIRTEL","4G","download","47712","-99","Haryana"
"JIO","4G","download","15319","-110","Kerala"
"JIO","4G","upload","1498","-88","Haryana"
"JIO","4G","download","168","-90","UP East"
"JIO","4G","download","51119","-89","Haryana"
"JIO","4G","upload","2778","-110","Haryana"
"JIO","4G","upload","9261","-90","Tamil Nadu"
"JIO","4G","upload","8261","-90","Kolkata"
"JIO","4G","download","71381","-90","Tamil Nadu"
"AIRTEL","4G","upload","14550","-89","Haryana"
"JIO","4G","download","72151","-90","Tamil Nadu"
"JIO","4G","upload","9252","-90","Tamil Nadu"
"AIRTEL","4G","download","5289","-108","Haryana"
"JIO","4G","upload","2166","-99","Kerala"
"JIO","4G","upload","7629","-90","Gujarat"
"JIO","4G","upload","7652","-90","Maharashtra"
"JIO","4G","upload","4112","-90","Kolkata"
"AIRTEL","4G","upload","4930","-89","Haryana"
"AIRTEL","4G","upload","22367","-99","Haryana"
"JIO","4G","download","32902","-90","Kolkata"
"JIO","4G","upload","9471","-90","Tamil Nadu"
"AIRTEL","4G","download","74988","-74","Haryana"
"JIO","4G","upload","2663","-90","Bihar"
"JIO","4G","download","82796","-90","Bihar"
"AIRTEL","4G","download","21451","-91","Haryana"
"AIRTEL","4G","download","10808","-99","Haryana"
"JIO","4G","upload","9386","-90","Maharashtra"
"JIO","4G","upload","9232","-90","Maharashtra"
"AIRTEL","4G","upload","102","na","Haryana"
"JIO","4G","download","17101","-72","Haryana"
"JIO","4G","download","70737","-90","Kolkata"
"JIO","4G","upload","125","-111","Haryana"
"JIO","4G","upload","7490","-90","Maharashtra"
"JIO","4G","download","6055","-78","Delhi"
"JIO","4G","download","38602","-75","Kerala"
"JIO","4G","upload","2616","-97","Haryana"
"JIO","4G","upload","1364","na","Haryana"
"CELLONE","3G","upload","663","-68","West Bengal"
"JIO","4G","upload","3261","-65","Kerala"
"AIRTEL","4G","download","266","-107","Haryana"
"Vi India","4G","download","2399","-104","UP East"
"JIO","4G","upload","9255","-90","Maharashtra"
"Vi India","4G","upload","5606","-95","UP East"
"AIRTEL","4G","upload","1706","-110","Punjab"
"CELLONE","3G","download","4142","-64","UP West"
"JIO","4G","upload","8941","-90","Gujarat"
"AIRTEL","4G","download","8968","-86","Chennai"
"AIRTEL","4G","upload","87","-106","Haryana"
"JIO","4G","download","69867","-90","Tamil Nadu"
"AIRTEL","4G","upload","6457","-100","Haryana"
"JIO","4G","download","68615","-90","Maharashtra"
"AIRTEL","4G","upload","658","-110","Haryana"
"AIRTEL","4G","download","3239","-108","Haryana"
"JIO","4G","download","15885","-84","Haryana"
"AIRTEL","4G","upload","114","-95","Haryana"
"AIRTEL","4G","download","6369","-104","Haryana"
"Vi India","4G","upload","8312","-93","Kolkata"
"JIO","4G","upload","7556","-90","Rajasthan"
"JIO","4G","download","90854","-90","Maharashtra"
"AIRTEL","4G","download","19021","-94","Orissa"
"JIO","4G","upload","4804","-90","Bihar"
"JIO","4G","download","334","-109","Gujarat"
"JIO","4G","upload","9375","-90","Rajasthan"
"JIO","4G","download","73564","-90","Rajasthan"
"AIRTEL","4G","download","1881","-87","North East"
"JIO","4G","download","73682","-90","Tamil Nadu"
"JIO","4G","upload","673","-94","Haryana"
"JIO","4G","upload","4085","-97","Haryana"
"JIO","4G","upload","6713","-90","Kolkata"
"JIO","4G","upload","9199","-90","Maharashtra"
"JIO","4G","download","15795","-98","Haryana"
"JIO","4G","download","43410","-90","Kolkata"
"AIRTEL","4G","download","2361","-97","Mumbai"
"AIRTEL","4G","upload","402","na","Delhi"
"JIO","4G","download","10858","-93","Haryana"
"AIRTEL","4G","download","18703","-102","Maharashtra"
"JIO","4G","upload","20623","-67","Delhi"
"AIRTEL","4G","download","29999","-104","UP West"
"JIO","4G","upload","20105","-108","Haryana"
"AIRTEL","4G","download","26872","-93","Haryana"
"AIRTEL","4G","upload","5904","-94","Haryana"
"JIO","4G","upload","1813","-90","Delhi"
"JIO","4G","download","55403","-90","Kolkata"
"AIRTEL","4G","download","2633","na","Andhra Pradesh"
"JIO","4G","upload","1962","-106","Karnataka"
"AIRTEL","4G","upload","143","-89","Punjab"
"AIRTEL","4G","upload","1704","-101","Haryana"
"JIO","4G","download","4834","na","Andhra Pradesh"
"JIO","4G","download","25042","-89","Haryana"
"JIO","4G","download","72555","-90","Tamil Nadu"
"JIO","4G","upload","2130","-90","Kolkata"
"AIRTEL","4G","download","36786","-108","Haryana"
"AIRTEL","4G","upload","6426","-97","Haryana"
"Vi India","4G","download","6256","-84","Rajasthan"
"AIRTEL","4G","upload","477","-95","Haryana"
"JIO","4G","upload","7506","-90","Maharashtra"
"JIO","4G","upload","8428","-90","Maharashtra"
"JIO","4G","upload","9200","-90","Tamil Nadu"
"JIO","4G","upload","9034","-83","Punjab"
"JIO","4G","upload","6240","-79","Haryana"
"Vi India","4G","download","3709","-105","Gujarat"
"AIRTEL","4G","download","32410","-78","Haryana"
"AIRTEL","4G","upload","7701","-90","Maharashtra"
